user_name,user_location,user_followers,user_friends,user_verified,date,text,hashtags,source,language,is_retweet
Sjors Rozendaal,,44,259,False,2021-04-30 10:45:49,"Als @PvdA en @PloumenLilianne @markrutte niet uitsluiten voor kabinetsdeelname stem ik nooit, maar dan ook nooit meer #PvdA!!!  #notulendebat #formatie2021 #toeslagenaffaire  #Rutte4 #Rutteleugenaar #Ruttedoctrine @MinPres",,Twitter for iPhone,nl,False
"Adriaan H⭕fstra ♻🕯 © 1,5 ↔ 😷 🕘 💉",Fryslân   @0512 ,5488,5896,False,2021-04-30 10:42:48,Hoe het kabinet zich in de #Toeslagenaffaire liet leiden door #treurigstemmende #gierigheid https://t.co/QDZDG3RyLO via @vrij_nederland,"['Toeslagenaffaire', 'treurigstemmende', 'gierigheid']",Twitter for Android,nl,False
Ik voel ongemak,Amsterdam,4165,3427,False,2021-04-30 10:40:00,"Even ter info. #notulendebat is nog steeds meestgebruikte hashtag. Net als dat #ToeslagenAffaire ook steeds weer terugkomt. Media en regenten kunnen spinnen wat ze willen, maar er is helemaal geen vertrouwen. #GrondwetCrisis #MotieVanWantrouwen https://t.co/Iw6q8rXMZf","['notulendebat', 'ToeslagenAffaire']",Twitter Web App,nl,False
Stefano,Noord brabant,24,54,False,2021-04-30 10:39:53,"Ongelofelijk dat een lichte toetst meteen beoordeeld kan worden, door iemand die je onverwachts opbelt en je meteen vragen stelt over je verleden....

#toeslagenaffaire",,Twitter Web App,nl,False
Carlos Zacharioudakis,,177,219,False,2021-04-30 10:38:38,"@NadiaBouras In dit geval duiken ze gewoon weer met elkaar in bed, terwijl de kinderen (de gedupeerden van de #toeslagenaffaire) nog zwaar in de ellende zitten.",,Twitter Web App,nl,False
Willem Legerstee #NoJabforMe 🇳🇱🇺🇸🇵🇭,the Netherlands,3191,1586,False,2021-04-30 10:37:54,"Ben er echt volkomen klaar mee!
17 maart 2021 was de laatste keer dat ik in mijn leven gestemd heb.
Na dat #toeslagenaffaire echec en dito toneelstuk van @MarkRutte @WBHoekstra en @SigridKaag in de afgelopen weken heb ik mijn beetje vertrouwen in de politiek nu volledig verloren.",,Twitter for iPhone,nl,False
NdK,Dordrecht,418,835,False,2021-04-30 10:37:45,"Na het niet steunen van de motie, nog steeds geen geld teruggestort etc etc worden de ouders van de #toeslagenaffaire nog een keer vol in de bek gespuugd... op drie partijen na wil iedereen nogmaals met Rutte in een kabinet! Ga jullie heel diep schamen!!! #motievanwantrouwen",,Twitter for Android,nl,False
Hans Prade - Open your mind ....,Planet Earth,426,397,False,2021-04-30 10:34:15,"Prima eindverslag van Tjeenk Willink!
Prima gesproken tijdens de persconferentie! 

En nu terug naar de formatie! 

En betaal aub snel de toeslagen uit voor de ouders! 

#formatie #maandkoers #notulendebat #toeslagenaffaire #compassie https://t.co/0whvvSzBZr",,Twitter for Android,nl,False
de Minister van Vreemde Zaken,De bunkers van het ministerie,1063,1317,False,2021-04-30 10:32:51,Ik ga nu even stoppen met twitteren over de #toeslagenaffaire want mijn maagzuur speelt op. Maar wat een ongelooflijk trieste dag dit. Bedankt @toeslagherstel en @AvHuffelen Echt top dit.,['toeslagenaffaire'],TweetDeck,nl,False
Bart Lancing,,0,18,False,2021-04-30 10:30:28,"@rkemp59 Jaarlijks wordt totaal voor miljarden gefraudeerd! Robuuste wetgeving is nodig, die ook simpel, uitvoerbaar en in balans is! Welke constructieve inbreng door #PVV #SP  #FVD #Denk #BIJ1 #JA21 #BBB geleverd  tav de #toeslagenaffaire? NIHIL!! Maar wél veel stampij bij #notulendebat!",,Twitter for Android,nl,False
Belanghebbende.,"Den Haag, Nederland",11,25,False,2021-04-30 10:29:06,"JA21 kwam met een grote mond de kamer in maar ondertussen zijn zij ook weer 1 van de schoothondjes van Rutte en Kaag geworden. Wat een aanfluiting. Joost Eerdemans, ik hoop dat u dit leest, u mag zich kapot schamen #notulendebat #notulengate #ja21 #tweedekamer #toeslagenaffaire",,Twitter for iPhone,nl,False
Derk van Tongeren,Zaandam,243,787,False,2021-04-30 10:28:56,De aandacht is volledig gericht op de #toeslagenaffaire. Ondertussen gaat de jacht van de gerechtsdeurwaarders op de #minima met #schulden wegens het ontbreken van het #Schuldenfonds van 30 miljoen euro wat begin dit jaar ingevoerd moest worden gewoon door. #NotulenDebat https://t.co/NulLNhxqGX,['toeslagenaffaire'],Twitter Web App,nl,False
Matthijs Pontier 💜 🏴‍☠️,Amsterdam,28743,30699,False,2021-04-30 10:28:14,"Rutte weigert extra vergaderverslagen te verschaffen https://t.co/ZBAoI16JVp

Het ging in al die 37 pagina’s nergens over discriminatie of kinderen in armoede. Dat is gewoon onwil! #notulengate

Ruim 14.000 toeslagouders krijgen die beloofde 30.000 toch niet 🙄 #toeslagenaffaire https://t.co/G7WwctulGP",,Twitter Web App,nl,False
Bart Lancing,,0,18,False,2021-04-30 10:25:36,"Jaarlijks wordt totaal voor miljarden gefraudeerd! Robuuste wetgeving is nodig, die ook simpel, uitvoerbaar en in balans is! Welke constructieve inbreng door #PVV #SP  #FVD #Denk #BIJ1 #JA21 #BBB geleverd  tav de #toeslagenaffaire? NIHIL! Maar wél veel stampij bij #notulendebat!",,Twitter for Android,nl,False
𝔹𝕖𝕟 K,Netherlands,667,305,False,2021-04-30 10:23:47,"Ik denk/vrees dat Rutte gaat aankondigen dat hij ná komende regeerperiode gaat stoppen. 
#Ruttedoctrine #rutte4 #groenlinks #toeslagenaffaire","['Ruttedoctrine', 'rutte4']",Twitter Web App,nl,False
Daan van de Ree,,16,34,False,2021-04-30 10:22:47,Wat mij gisteren tijdens het #notulendebat het meest irriteerde was het geamuseerde gelach in vak K van @MinPres @WBHoekstra @SigridKaag @wkoolmees . Denkend aan de gezinnen die getroffen zijn door de #toeslagenaffaire komt dit wel heel respectloos over.,['notulendebat'],Twitter for Android,nl,False
De Goede Huisvader,Nederland,43,31,False,2021-04-30 10:20:04,"Goed, het was dus een ""therapeutisch debat,"" gisteren en vannacht. Ik vraag me af of de vergoeding voor de slachtoffers dan ook op therapeutische basis gaat plaatsvinden. Vergoeden, zonder allerlei onzinnigheid. Snelheid. Menselijkheid. 

#toeslagenaffaire #notulendebat",,Twitter for Android,nl,False
