stress,hindex,tenured,subjective.happyness,country,tenure.age
2,0,FALSE,6.25,NA,0
6,1,FALSE,3.25,.jp,0
2,7,FALSE,6.5,.in,0
4,7,FALSE,4.75,edu,0
4,4,FALSE,5.5,com,0
7,53,TRUE,6.25,.ch,30
5,46,TRUE,4,NA,36
1,3,TRUE,6.5,.ir,4
3,11,TRUE,6.25,.tw,41
4,6,FALSE,6.5,.il,0
6,3,FALSE,5.75,NA,0
5,12,TRUE,4.5,.jp,33
3,6,TRUE,4.75,.au,32
3,23,TRUE,4.75,NA,36
6,26,TRUE,3.75,NA,31
1,2,FALSE,6,.de,0
3,67,TRUE,5,.in,32
2,43,TRUE,6.25,NA,35
5,11,FALSE,4.75,NA,0
2,21,FALSE,3.75,NA,0
5,15,TRUE,6,NA,23
2,2,TRUE,5.25,.cz,31
2,7,FALSE,6,.ca,0
5,7,FALSE,3.5,NA,0
5,8,TRUE,3,NA,30
5,1,FALSE,4.5,com,0
4,32,TRUE,4.25,NA,37
5,9,FALSE,4.25,.au,0
5,6,FALSE,4.25,NA,0
5,4,FALSE,5.75,.gr,0
5,2,TRUE,4.25,.in,30
6,6,FALSE,4.5,NA,0
6,7,FALSE,2.25,.fr,0
4,1,FALSE,4,.jp,0
3,48,TRUE,5.25,NA,30
6,3,FALSE,3.75,.in,0
5,19,TRUE,4.5,.in,27
3,3,TRUE,6,.jp,32
4,3.22,FALSE,4.5,NA,0
6,4,FALSE,3.5,.de,0
7,1,FALSE,4.25,NA,0
2,21,TRUE,6,NA,34
3,10,TRUE,4,NA,26
3,6,FALSE,2.25,.ch,0
5,0,FALSE,2.75,.tr,0
6,36,TRUE,5,edu,37
6,24,TRUE,5.25,NA,39
6,24,TRUE,5.25,NA,38
4,4,FALSE,6.25,NA,0
5,5,FALSE,4,NA,0
5,33,TRUE,5.75,NA,32
4,4,FALSE,2.75,org,0
5,24,TRUE,5.75,.es,31
4,1,FALSE,6.5,NA,0
3,21,TRUE,4,.ch,45
5,11,TRUE,4,.it,37
2,16,TRUE,5.25,.ru,30
5,30,TRUE,6,.es,20
7,3,FALSE,5.5,NA,0
2,30,TRUE,5.5,.cz,45
5,40,TRUE,5,.fr,33
5,0,FALSE,4,NA,0
2,0,FALSE,5.25,NA,0
2,1,FALSE,7,NA,0
2,26,TRUE,6,.se,36
4,0,FALSE,6.25,NA,0
3,7,FALSE,6,edu,0
1,1,FALSE,7,com,0
4,1,FALSE,5.75,.de,0
5,4,FALSE,5.5,edu,0
5,41,TRUE,6.5,NA,32
5,6,FALSE,4,.de,0
3,8,TRUE,4.5,NA,28
5,3,FALSE,4.75,NA,0
5,1,FALSE,4.5,NA,0
5,16,FALSE,4.5,org,0
7,4,FALSE,4,NA,0
4,1,FALSE,4.25,NA,0
4,2,FALSE,3.25,.ru,0
6,2,FALSE,3.75,.de,0
2,0,FALSE,6.25,.de,0
4,2,FALSE,5.25,.ch,0
5,0,FALSE,5.75,com,0
3,14,FALSE,4.5,edu,0
5,0,FALSE,5.75,com,0
5,2,TRUE,5.5,.it,24
3,2,FALSE,6,.si,0
2,14,FALSE,5.5,com,0
5,59,TRUE,2.75,NA,34
3,11,TRUE,5.5,NA,43
2,1,TRUE,5.75,NA,19
5,11,FALSE,2.5,.ca,0
4,2,FALSE,2.75,NA,0
3,0,TRUE,2.75,NA,35
4,4,FALSE,3.75,.cz,0
6,2,FALSE,5,.ru,0
2,69,TRUE,6.5,NA,30
4,20,TRUE,5.25,NA,34
1,60,TRUE,3.75,NA,27
2,16,TRUE,4.5,NA,32
5,17,FALSE,5,NA,0
4,24,TRUE,4.75,NA,26
6,2,FALSE,2.5,.de,0
4,32,TRUE,4.25,NA,42
3,1,FALSE,6.25,.de,0
2,13,TRUE,3.75,com,30
6,0,FALSE,5,NA,0
2,2,FALSE,5.25,NA,0
6,47,TRUE,5.25,.de,36
4,6,TRUE,5.25,NA,27
5,11,FALSE,1.5,NA,0
3,40,TRUE,5.75,NA,36
4,4,FALSE,5,.sg,0
7,28,FALSE,2.25,.cz,0
4,12,TRUE,4.75,.ua,48
3,40,FALSE,5.5,com,0
6,31,TRUE,4.5,.il,37
5,3,TRUE,2.5,NA,35
2,2,TRUE,6,.lt,25
6,16,FALSE,5.25,NA,0
7,5,FALSE,3.25,NA,0
2,48,TRUE,5,.ch,37
6,1,FALSE,4,com,0
5,4,FALSE,4.75,.it,0
6,7,TRUE,3,NA,32
5,3,FALSE,5.5,NA,0
5,29,TRUE,4.75,NA,38
1,20,TRUE,5.5,NA,34
4,12,FALSE,5,.cy,0
1,36,TRUE,6,NA,26
3,3,FALSE,4.25,NA,0
4,17,FALSE,5.5,.uk,0
6,4,FALSE,3.75,.it,0
6,15,TRUE,1.5,.uk,1
3,1,FALSE,5.25,com,0
5,4,FALSE,5.75,NA,0
4,6,FALSE,5,.in,0
4,1,TRUE,5.75,NA,27
6,2,TRUE,4,NA,30
4,0,FALSE,4,.de,0
2,1,FALSE,6.5,NA,0
1,2,FALSE,7,.it,0
2,34,TRUE,6.5,.de,37
7,15,FALSE,4.25,NA,0
6,3,FALSE,2.25,NA,0
3,10,TRUE,6.25,.se,35
7,8,FALSE,3.75,NA,0
6,11,FALSE,4,NA,0
4,3,FALSE,4.75,.fr,0
7,29,FALSE,3.5,.es,0
5,2,FALSE,4.5,NA,0
7,3,FALSE,2,NA,0
4,42,TRUE,6.5,.be,28
6,17,FALSE,5.75,.fr,0
4,3,FALSE,5,.se,0
7,23,TRUE,4.75,.il,39
3,6,TRUE,6.25,NA,30
6,4,FALSE,5.5,NA,0
3,1,FALSE,5.25,edu,0
4,34,TRUE,5.75,NA,30
5,18,TRUE,4,NA,50
5,5,FALSE,4.5,.uk,0
3,8,FALSE,4.75,com,0
4,2,FALSE,3.75,NA,0
3,10,FALSE,4.75,NA,0
6,11,FALSE,4,NA,0
2,3,FALSE,5.25,.it,0
5,0,FALSE,2.5,NA,0
6,2,FALSE,4,NA,0
2,65,TRUE,5,NA,32
5,1,FALSE,5.75,NA,0
3,20,TRUE,5,NA,43
1,3,FALSE,3.5,NA,0
4,4,FALSE,4.75,NA,0
6,2,TRUE,5,NA,4
1,5,FALSE,4.75,.in,0
3,24,TRUE,5,NA,40
1,28,TRUE,5,NA,23
5,9,TRUE,5.5,.es,36
2,14,TRUE,5.75,NA,29
6,10,FALSE,4,.es,0
5,7,FALSE,3.25,.it,0
4,4,FALSE,4,.no,0
5,13,FALSE,5,.de,0
2,10,TRUE,6,NA,31
4,13,TRUE,4,NA,45
4,23,TRUE,6,.in,38
3,2,FALSE,3.25,.fr,0
1,11,TRUE,5.25,.it,27
4,19,TRUE,3.75,NA,34
6,1,FALSE,5.5,NA,0
5,12,TRUE,5,.se,37
5,4.9,TRUE,1.75,NA,27
6,3,FALSE,6.25,NA,0
5,6,FALSE,6.5,NA,0
7,19,TRUE,4.75,.in,31
5,10,TRUE,2.25,.fr,29
2,70,TRUE,4.75,NA,34
3,15,TRUE,4.75,.ru,29
5,20,TRUE,4,.uk,28
3,1,FALSE,4.5,.ie,0
5,3,FALSE,3.25,.de,0
5,4,FALSE,4.75,com,0
4,3,FALSE,4.5,NA,0
5,74,FALSE,4.25,NA,0
2,6,FALSE,5.75,NA,0
5,6,FALSE,3,NA,0
5,47,FALSE,4.75,.pt,0
6,5,FALSE,4.5,NA,0
4,17,TRUE,6,NA,51
1,0,FALSE,4.75,NA,0
3,5,FALSE,4.5,NA,0
4,2,FALSE,6.25,.se,0
4,9,TRUE,4.5,NA,22
5,4,FALSE,3.5,.at,0
4,6,FALSE,4,edu,0
4,6,FALSE,4,edu,0
4,28,TRUE,5,NA,30
2,6,TRUE,6,NA,30
3,3,TRUE,2.5,NA,29
6,5,FALSE,6,.ch,0
2,4,FALSE,5.75,.ru,0
4,12,FALSE,5,gov,0
4,7,FALSE,4,.se,0
4,4,FALSE,4,.no,0
3,3,FALSE,4,.hk,0
5,1,FALSE,6.25,com,0
5,14,TRUE,4.5,.il,44
5,13,FALSE,4.75,NA,0
5,2,FALSE,5.5,.nl,0
4,0,FALSE,5.5,NA,0
5,2,FALSE,4.75,.uk,0
5,4,FALSE,4.25,.uk,0
5,3,FALSE,3.25,NA,0
2,3,FALSE,5.75,.ir,0
2,10,FALSE,5.25,.de,0
6,7,TRUE,5,NA,34
4,11,TRUE,6.75,NA,28
5,5,FALSE,5.5,NA,0
5,33,TRUE,4.75,NA,37
2,15,TRUE,4.75,NA,34
2,1,FALSE,5.5,NA,0
3,3,FALSE,5.25,.ie,0
3,5,FALSE,6,NA,0
4,8,TRUE,4.25,.hr,40
5,0,FALSE,4,NA,0
6,2,FALSE,4.75,.uk,0
4,2,FALSE,3,.de,0
1,1,FALSE,5.5,.jp,0
5,9,TRUE,2.75,NA,34
2,31,TRUE,5.25,.es,44
4,7,FALSE,3.75,NA,0
6,2,FALSE,6.25,NA,0
5,3,TRUE,4.25,NA,31
5,3,TRUE,4.5,NA,36
7,32,TRUE,5,.cn,35
6,28,FALSE,5.5,edu,0
5,1,FALSE,5.75,.ca,0
3,4,FALSE,5.25,.fr,0
4,4,FALSE,5.25,NA,0
5,64,TRUE,6,NA,44
3,1,FALSE,5.25,edu,0
5,27,TRUE,3,NA,30
5,2,FALSE,3.75,.cz,0
3,3,FALSE,5.5,NA,0
2,2,FALSE,5.75,NA,0
6,5,TRUE,2.5,NA,30
5,2,FALSE,5.5,edu,0
2,0,FALSE,6,NA,0
3,28,TRUE,5.75,.fr,33
1,39,TRUE,6.25,.ch,42
1,17,TRUE,5.25,NA,30
5,3,TRUE,5,.ph,30
4,20,TRUE,6.5,.ca,33
4,4,TRUE,4,NA,39
6,0,FALSE,3.5,.ca,0
1,7,TRUE,5,.in,34
6,20,FALSE,4.5,NA,0
5,2,FALSE,3.75,edu,0
3,12,TRUE,3.5,NA,29
4,16,TRUE,5.25,NA,35
2,11,TRUE,4.5,NA,38
2,3,TRUE,5.75,.ir,27
2,25,TRUE,5.75,.ca,32
5,7,FALSE,3.25,NA,0
1,4,FALSE,6,NA,0
6,12,FALSE,4,NA,0
7,30,TRUE,2.75,NA,37
4,4,FALSE,4.75,NA,0
4,17,FALSE,6.5,edu,0
5,19,FALSE,5,.cn,0
5,5,FALSE,2.5,NA,0
5,0,FALSE,4,.in,0
5,5,FALSE,4,NA,0
6,26,TRUE,5.25,NA,39
6,5,FALSE,5,edu,0
2,0,FALSE,4.75,gov,0
4,7,FALSE,5.5,.il,0
6,9,FALSE,3.5,.uk,0
1,28,TRUE,5.25,NA,34
5,2,FALSE,3.25,.cn,0
3,0,FALSE,6.25,NA,0
2,31,TRUE,2.75,edu,40
4,8,TRUE,4.75,.ir,31
5,2,FALSE,5,NA,0
4,1,FALSE,4,.in,0
